
mean_score,median_score,max_score,min_score,evaluation_seed,num_games,evaluator_type,evaluator_config,heuristic,scores,extra_info
2013.58,1200.0,10245,63,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=22.63731737263332, num_distinct_overhangs_weight=11.127807415307755, num_rows_with_overhung_holes_weight=1.7738426008122095, num_overhung_cells_weight=14.036854836856648, num_overhanging_cells_weight=0.045572727913219556, num_narrow_gaps_weight=28.573936269023303, sum_of_cell_heights_weight=0.09958646074308604, sum_of_adjacent_height_differences_weight=4.091038311154181, close_to_top_threshold=1)","[1268, 1099, 2287, 9856, 4156, 10245, 1344, 3134, 2963, 3437, 356, 1110, 63, 1285, 3128, 1399, 138, 3944, 3526, 503, 842, 464, 628, 641, 1006, 135, 1275, 3710, 1577, 605, 568, 579, 68, 503, 747, 2191, 3768, 456, 363, 2958, 847, 1132, 2667, 3270, 1468, 373, 139, 2831, 8741, 886]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\2025-02-10_21-22-57_fitness-39994.pkl', 'top_k': 1}"
1929.98,1151.5,9500,43,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=23.323712481057097, num_distinct_overhangs_weight=21.619653307655806, num_rows_with_overhung_holes_weight=13.977959799872522, num_overhung_cells_weight=0.11965209293180414, num_overhanging_cells_weight=0.05036399422298431, num_narrow_gaps_weight=23.909301991503998, sum_of_cell_heights_weight=0.09654645460416839, sum_of_adjacent_height_differences_weight=6.499004625944824, close_to_top_threshold=3)","[1287, 2839, 224, 1249, 3880, 2287, 988, 936, 1822, 304, 276, 2539, 5347, 1293, 2450, 5620, 673, 62, 215, 2578, 900, 160, 1511, 789, 2723, 1031, 4796, 1309, 49, 1756, 3878, 474, 103, 1668, 9043, 829, 4503, 1054, 365, 989, 9500, 550, 410, 43, 2349, 383, 1831, 737, 4970, 927]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\2025-02-10_20-37-50_fitness-39997.pkl', 'top_k': 1}"
3083.88,1727.0,14252,125,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=29.54735612162214, num_distinct_overhangs_weight=13.402585218414346, num_rows_with_overhung_holes_weight=17.05798449630461, num_overhung_cells_weight=0.1586405310117646, num_overhanging_cells_weight=0.07176722861453179, num_narrow_gaps_weight=22.7321777549799, sum_of_cell_heights_weight=0.051535676453027444, sum_of_adjacent_height_differences_weight=5.211841688641368, close_to_top_threshold=2)","[10287, 660, 12990, 656, 795, 591, 171, 1961, 7722, 1507, 1950, 1804, 7145, 998, 5060, 6735, 1741, 2210, 1713, 1550, 1542, 679, 1633, 668, 3347, 3577, 1115, 5781, 499, 7233, 4291, 546, 1333, 788, 910, 1661, 14252, 2770, 2975, 5398, 3433, 1515, 593, 6159, 125, 556, 4098, 5573, 2219, 679]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\2025-02-10_19-54-43_fitness-39998.pkl', 'top_k': 1}"
1739.56,1356.5,7640,101,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=3.21120441766505, num_distinct_overhangs_weight=11.2177998549483, num_rows_with_overhung_holes_weight=3.6845626810962986, num_overhung_cells_weight=0.1387964162254557, num_overhanging_cells_weight=0.10256077580062536, num_narrow_gaps_weight=19.371405574984884, sum_of_cell_heights_weight=0.009889298294663574, sum_of_adjacent_height_differences_weight=1.7655243028028471, close_to_top_threshold=3)","[3410, 2377, 983, 687, 2320, 374, 915, 3276, 1464, 300, 768, 894, 256, 5608, 361, 327, 2006, 2319, 2567, 943, 1236, 2584, 101, 2073, 1820, 1655, 101, 1517, 820, 2219, 262, 1523, 557, 1249, 628, 772, 272, 2766, 774, 977, 157, 6215, 4586, 7640, 2749, 2041, 783, 2806, 2220, 1720]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\2025-02-10_19-16-45_fitness-39995.pkl', 'top_k': 1}"
2098.0,1647.0,7380,118,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=46.61988524553353, num_distinct_overhangs_weight=13.230004525287292, num_rows_with_overhung_holes_weight=16.35119242029732, num_overhung_cells_weight=0.06433206290881215, num_overhanging_cells_weight=0.03417197401277254, num_narrow_gaps_weight=30.0910336816352, sum_of_cell_heights_weight=0.04860180152835742, sum_of_adjacent_height_differences_weight=4.085255959065246, close_to_top_threshold=3)","[1589, 874, 5417, 549, 7380, 2530, 724, 2856, 608, 3372, 3303, 2039, 1623, 190, 1671, 5089, 678, 1819, 442, 1261, 118, 2382, 423, 3629, 3341, 581, 1848, 901, 413, 6168, 577, 468, 5359, 978, 766, 1466, 572, 1976, 3885, 3123, 2578, 224, 256, 3570, 2351, 1370, 1230, 3637, 2227, 4469]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\2025-02-10_18-13-35_fitness-39998.pkl', 'top_k': 1}"
